subject,phase,wmtask,correct,response
ck7u5vy4bcgpq3jfezak,load,spatial,0,"[""2"",""3""]"
4wedfob3kk7mtkvjh1qb,load,spatial,1,"[""2"",""7"",""1"",""3"",""0"",""5""]"
4wedfob3kk7mtkvjh1qb,load,spatial,1,"[""2"",""0"",""6"",""1"",""8"",""3""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""5"",""0"",""4""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""7"",""8""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""0"",""6""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""2"",""5"",""7""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""2"",""3"",""1"",""8"",""4""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""5"",""7"",""8"",""4""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""4"",""8""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""1""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""4"",""7"",""2"",""4""]"
4wedfob3kk7mtkvjh1qb,load,spatial,1,"[""5"",""2"",""7"",""0"",""4"",""1""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""5""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""7""]"
4wedfob3kk7mtkvjh1qb,load,spatial,1,"[""1"",""4"",""2"",""7"",""6"",""0""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""7""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""1"",""4""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""5""]"
4wedfob3kk7mtkvjh1qb,load,spatial,1,"[""8"",""0"",""3"",""5"",""6"",""4""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""1""]"
4wedfob3kk7mtkvjh1qb,load,spatial,1,"[""5"",""0"",""4"",""3"",""6"",""1""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""8"",""0"",""7"",""2"",""5""]"
4wedfob3kk7mtkvjh1qb,load,spatial,0,"[""4"",""3"",""6"",""2"",""5""]"
4wedfob3kk7mtkvjh1qb,load,spatial,1,"[""0"",""3"",""8"",""6"",""5"",""1""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""6""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""2"",""0"",""8"",""1"",""4""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""1"",""3"",""5"",""2"",""8"",""7""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""7"",""4""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""5""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""6"",""4"",""2"",""3""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""7""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""8"",""1"",""0"",""5"",""2"",""6""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""5"",""2"",""0"",""6"",""3"",""1""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""4""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""7"",""8"",""0"",""5"",""3"",""1""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""7"",""5"",""3"",""2"",""8"",""4""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""3"",""1""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""3"",""4"",""7"",""0"",""8"",""2""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""2"",""3"",""0"",""1"",""5"",""6""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""1"",""4"",""7"",""2"",""5""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""2"",""5"",""4"",""6"",""3"",""8""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""1"",""2"",""0"",""7"",""8"",""6""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""8"",""5"",""4"",""1""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""6"",""4"",""8"",""3"",""5"",""7""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""1"",""6""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""5"",""3""]"
2pyg40ulwch8gsl8taz3,load,spatial,1,"[""1"",""4"",""7"",""2"",""6"",""5""]"
2pyg40ulwch8gsl8taz3,load,spatial,0,"[""5"",""6""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""H"",""R"",""S"",""Q"",""B"",""Z""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""Z"",""R"",""B"",""N"",""P"",""S""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""P""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""L"",""R""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""L"",""N"",""H"",""Q"",""W"",""K""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""L"",""H""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""S"",""W"",""Z"",""R"",""K"",""N""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""H""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""H""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""Q"",""C"",""V"",""S"",""M"",""Z""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""W"",""L"",""H"",""T"",""F"",""K""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""H"",""N"",""R""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""N"",""C"",""Z"",""W"",""X"",""T""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""Q"",""W"",""X""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""W"",""H""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""R"",""W"",""H""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""N"",""B"",""W"",""H"",""Z"",""X""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""B"",""Z""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""Z"",""L""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""L"",""Z"",""R"",""W"",""H"",""S""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""F"",""Z"",""J"",""L"",""W"",""K""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,1,"[""P"",""Z"",""D"",""N"",""L"",""S""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""Z"",""M"",""K"",""L"",""W""]"
zgt0e5pnkp0m14nr3nx1,load,verbal,0,"[""T"",""H"",""Z""]"
